qid,term,topic,subtopic,difficulty,questiontype,parentid,orderinparent,questiontext,optiona,optionb,optionc,optiond,correctanswer,hint,detailedsolution,imagelocation,tags,enginetypesim,modesim,filepathsim,filenamesim
1,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Manya is revising for his Science PLE and reads about body structures. How should he define what a skeleton is?,A framework of bones,A group of muscles,A layer of skin,A system of nerves,Option_A,It is the structure that holds the body up.,A skeleton is defined as the supportive framework of bones in an organism.,null,"[""P7"",""Science"",""Skeleton""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Kiti the Cat is looking at a diagram of the human body. What is the correct definition of a skeleton?,A framework of bones,A group of muscles,A layer of skin,A system of nerves,Option_A,It is the structure that holds the body up.,A skeleton is defined as the supportive framework of bones in an organism.,null,"[""P7"",""Science"",""Skeleton""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Polly the Parrot is teaching her friends about how the body stays upright. What exactly is a skeleton?,A framework of bones,A group of muscles,A layer of skin,A system of nerves,Option_A,It is the structure that holds the body up.,A skeleton is defined as the supportive framework of bones in an organism.,null,"[""P7"",""Science"",""Skeleton""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Manya is classifying animals based on their support systems. How many main types of skeletons are found in animals?,Two,Three,Four,Five,Option_B,"Think about animals with bones inside, shells outside, or fluid bodies.","There are three types: Exo-skeleton, Endo-skeleton, and Hydrostatic skeleton.",null,"[""P7"",""Science"",""Types""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Kiti the Cat notices that some animals have shells while others have internal bones. How many main types of skeletons exist in the animal kingdom?,Two,Three,Four,Five,Option_B,"Think about animals with bones inside, shells outside, or fluid bodies.","There are three types: Exo-skeleton, Endo-skeleton, and Hydrostatic skeleton.",null,"[""P7"",""Science"",""Types""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Polly the Parrot asks her science study group a question: How many main types of skeletons are found in animals?,Two,Three,Four,Five,Option_B,"Think about animals with bones inside, shells outside, or fluid bodies.","There are three types: Exo-skeleton, Endo-skeleton, and Hydrostatic skeleton.",null,"[""P7"",""Science"",""Types""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Manya is examining a beetle he found in the garden. In which type of skeleton are hard tissues found outside the flesh?,Endo-skeleton,Exo-skeleton,Hydrostatic skeleton,None,Option_B,The prefix 'Exo' means outside.,"Exo-skeletons are found on the outside of the body, mostly in insects.",null,"[""P7"",""Science"",""Exoskeleton""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Kiti the Cat taps on a crab's hard shell. What type of skeleton has hard tissues located outside the flesh?,Endo-skeleton,Exo-skeleton,Hydrostatic skeleton,None,Option_B,The prefix 'Exo' means outside.,"Exo-skeletons are found on the outside of the body, mostly in insects.",null,"[""P7"",""Science"",""Exoskeleton""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Polly the Parrot is reading a chapter about insects. In which type of skeleton are the hard tissues found on the outside?,Endo-skeleton,Exo-skeleton,Hydrostatic skeleton,None,Option_B,The prefix 'Exo' means outside.,"Exo-skeletons are found on the outside of the body, mostly in insects.",null,"[""P7"",""Science"",""Exoskeleton""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,T1,Musculo-Skeletal System,types_of_skeleton,E,MCQ,null,null,Manya is sorting animal flashcards. Which of these animals is an example of an organism with an exo-skeleton?,Cow,Frog,Cockroach,Dog,Option_C,It is an insect with a hard outer covering.,Insects like cockroaches and grasshoppers have their skeletons on the outside.,null,"[""P7"",""Science"",""Insects""]",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
